sequence	16S_rRNA_Count	metadata_NSTI
ASV0001	1	0.010135
ASV0002	1	0.080433
ASV0003	1	0.0022660000000000002
ASV0004	5	0.037426999999999995
ASV0005	1	0.012286
ASV0006	1	0.008095
ASV0007	1	0.13708499999999998
ASV0008	2	0.002135
ASV0009	1	0.083526
ASV0010	1	0.023153
ASV0011	1	0.083538
ASV0012	5	0.002136
ASV0013	1	0.010069
ASV0014	1	0.004342
ASV0015	5	0.028381
ASV0016	1	0.00434
ASV0017	5	0.016451
ASV0018	1	0.055166999999999994
ASV0019	5	0.039788
ASV0020	5	0.035095999999999995
ASV0021	1	0.012284999999999999
ASV0022	5	0.006359
ASV0023	1	0.071015
ASV0024	5	0.002085
ASV0025	1	0.140287
ASV0026	5	0.036976999999999996
ASV0027	1	0.13233
ASV0028	1	0.0021620000000000003
ASV0029	1	0.133825
ASV0030	1	0.021699
ASV0031	1	0.173266
ASV0032	2	0.010255
ASV0033	5	0.002141
ASV0034	1	0.035884
ASV0035	1	0.428734
ASV0036	1	0.035939
ASV0037	5	0.006368
ASV0038	1	0.010567
ASV0039	5	0.014255
ASV0040	2	0.081078
ASV0041	1	0.058299000000000004
ASV0042	2	0.012785
ASV0043	2	0.002177
ASV0044	1	0.074369
ASV0045	1	0.065558
ASV0046	1	0.086453
ASV0047	2	0.010636
ASV0048	1	0.025748000000000004
ASV0049	1	0.03098
ASV0050	1	0.057102999999999994
ASV0051	5	0.006372
ASV0052	5	0.041663
ASV0053	1	0.019780000000000002
ASV0054	1	0.006336
ASV0055	5	0.006314999999999999
ASV0056	1	0.026262
ASV0057	1	0.131205
ASV0058	3	0.076269
ASV0059	1	0.22293000000000002
ASV0060	5	0.028076
ASV0061	1	0.026941000000000003
ASV0062	1	0.258062
ASV0063	1	0.06243099999999999
ASV0064	1	0.053225
ASV0065	5	0.051327
ASV0066	1	0.031082
ASV0067	1	0.004186
ASV0068	3	0.071153
ASV0069	1	0.053172000000000004
ASV0070	1	0.047697
ASV0071	5	0.008501
ASV0072	1	0.0021850000000000003
ASV0073	5	0.008581
ASV0074	3	0.075643
ASV0075	1	0.076142
ASV0076	1	0.132907
ASV0077	5	0.002084
ASV0078	1	0.651725
ASV0079	1	0.091296
ASV0080	5	0.008237999999999999
ASV0081	1	0.061155999999999995
ASV0082	3	0.078361
ASV0083	1	0.030895
ASV0084	1	0.057047
ASV0085	1	0.12363900000000001
ASV0086	1	0.06536
ASV0087	5	0.057129
ASV0088	1	0.03427
ASV0089	5	0.070953
ASV0090	1	0.010711
ASV0091	5	0.021906000000000002
ASV0092	5	0.006363000000000001
